key;ID;speciesStrain;speciesStrainComp;genus;genusComp;species;speciesComp;strain;cultureNo;typeStrain;misclassified;gram;oxygen;substrate;genomeAccNo;usedAccNo;ncbiFTP_FAA
1524;;Lactobacillus gigeriorum 202;lactobacillusgigeriorum202;Lactobacillus;lactobacillus;Lactobacillus gigeriorum;lactobacillusgigeriorum;202;;;;positive;facultative;amygdalin|arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|fructose|galactitol|galactose|gentiobiose|gluconate|glucose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|mannose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_001436575|872325.3|1423751.3|GCA_000296855|2700989126|2597489909|AYZO00000000;GCA_001436575;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/436/575/GCA_001436575.1_ASM143657v1/GCA_001436575.1_ASM143657v1_protein.faa.gz
1525;130378;Lactobacillus helsingborgensis Bma5N;lactobacillushelsingborgensisbma5n;Lactobacillus;lactobacillus;Lactobacillus helsingborgensis;lactobacillushelsingborgensis;Bma5N;DSM 26265|CCUG 63301|JCM 30766;yes;;;anaerobic;amygdalin|arbutin|D-arabinose|D-arabitol|D-fructose|D-fucose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-xylose|erythritol|esculin|gentiobiose|glycerol|glycogen|inulin|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_003173695|GCA_019972795|GCA_014324155|1218494.3|1218494.5|1218494.14|2684622914|2645727721|GCA_000970855|1218494.11|JXJR00000000|2758568512|2851410423;GCA_003173695;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/173/695/GCA_003173695.1_ASM317369v1/GCA_003173695.1_ASM317369v1_protein.faa.gz
1526;153568;Lactobacillus helveticus CCUG 50205;lactobacillushelveticusccug50205;Lactobacillus;lactobacillus;Lactobacillus helveticus;lactobacillushelveticus;CCUG 50205;CCUG 50205|NCIMB 14005|JCM 30912|BCRC 17499|LMG 22464;no;;;anaerobic;alpha-cyclodextrin|amygdalin|arbutin|arginine|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|gluconate|glycerol|glycogen|hippurate|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-glutamate|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-glucopyranoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|nitrate|Potassium 2-ketogluconate|Potassium 5-ketogluconate|pullulan|raffinose|ribitol|salicin|sorbitol|starch|sucrose|trehalose|tryptophan|turanose|urea|xylitol;GCA_001437535|1587.32|2660237987;GCA_001437535;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/437/535/GCA_001437535.1_ASM143753v1/GCA_001437535.1_ASM143753v1_protein.faa.gz
1527;;Lactobacillus hominis 61D;lactobacillushominis61d;Lactobacillus;lactobacillus;Lactobacillus hominis;lactobacillushominis;61D;;;;positive;facultative;amygdalin|arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|fructose|galactitol|galactose|gentiobiose|gluconate|glucose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|mannose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|N-acetylgulcosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_000296835|GCA_902386305|GCA_910584015|872328.3|GCA_001436125|1423758.3|1203033.4|1203033.3|2537561925|2663763150|AYZP00000000|CAKE01000000;GCA_000296835;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/835/GCA_000296835.1_ASM29683v1/GCA_000296835.1_ASM29683v1_protein.faa.gz
1528;6535;Lactobacillus intestinalis Th4;lactobacillusintestinalisth4;Lactobacillus;lactobacillus;Lactobacillus intestinalis;lactobacillusintestinalis;Th4;CCUG 30727|DSM 6629|ATCC 49335|JCM 7548|BCRC 14741|CIP 104793|KCTC 5052|LMG 14196|NCIMB 13719;yes;;;anaerobic;alpha-cyclodextrin|amygdalin|arbutin|arginine|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gelatin|gentiobiose|gluconate|glycerol|glycogen|hippurate|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-glucopyranoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|nitrate|Potassium 2-ketogluconate|Potassium 5-ketogluconate|pullulan|raffinose|ribitol|salicin|sorbitol|starch|sucrose|trehalose|turanose|urea|xylitol;GCA_001435325|GCA_910574115|GCA_910574025|GCA_910574335|1423761.3|GCA_910575535|GCA_004793775|GCA_910576825|151781.13|151781.1|2700989157|AZGN00000000|151781.12|151781.7|151781.9|151781.11;GCA_001435325;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/435/325/GCA_001435325.1_ASM143532v1/GCA_001435325.1_ASM143532v1_protein.faa.gz
1529;6560;Lactobacillus johnsonii DSM 10533;lactobacillusjohnsoniidsm10533;Lactobacillus;lactobacillus;Lactobacillus johnsonii;lactobacillusjohnsonii;DSM 10533;DSM 10533|ATCC 33200|NCFB 2241|CCUG 30725|JCM 2012|KCTC 3801|VPI 7960|CCM 4384|CGMCC 1.3348|CGMCC 1.3397|CIP 103620|KCTC 5085;yes;;;anaerobic;amygdalin|arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-glucose|D-lyxose|D-mannitol|D-ribose|D-sorbitol|D-xylose|erythritol|esculin|galactitol|gluconate|glycerol|glycogen|inulin|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|sucrose|trehalose|turanose|xylitol;GCA_004011315|GCA_014841035|GCA_002176855|GCA_013487865|GCA_002176835|GCA_002253275|GCA_002253185|GCA_002253245|GCA_002553705|GCA_902362355|GCA_014058685|GCA_010206295|GCA_010586925|GCA_002160105|GCA_012843525|GCA_001572665|GCA_009708135|GCA_002269965|GCA_002253165|GCA_015235065|GCA_020026535|GCA_001433975|GCA_004010015|GCA_002270005|GCA_003316915|GCA_910574655|GCA_002156645|GCA_910576225|GCA_002253285|GCA_007876425|GCA_018917265|GCA_020026475|GCA_002253205|GCA_910574385|GCA_004569425|GCA_011959745|GCA_000159355|GCA_910574395|GCA_008868555|GCA_004684975|GCA_019459625|GCA_009769185|GCA_003428395;GCA_004011315;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/011/315/GCA_004011315.1_ASM401131v1/GCA_004011315.1_ASM401131v1_protein.faa.gz
1530;6615;Lactobacillus kalixensis Kx127A2;lactobacilluskalixensiskx127a2;Lactobacillus;lactobacillus;Lactobacillus kalixensis;lactobacilluskalixensis;Kx127A2;DSM 16043|CCUG 48459|CIP 109909|LMG 22115|JCM 15954;yes;;;anaerobic;cellobiose|esculin|fructose|galactose|glucose|lactose|maltose|mannitol|mannose|melibiose|N-acetylglucosamine|raffinose|salicin|sucrose|trehalose;1423763.3|GCA_001434335|2660238416|AZFM00000000;GCA_001434335;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/434/335/GCA_001434335.1_ASM143433v1/GCA_001434335.1_ASM143433v1_protein.faa.gz
1531;130376;Lactobacillus kimbladii Hma2N;lactobacilluskimbladiihma2n;Lactobacillus;lactobacillus;Lactobacillus kimbladii;lactobacilluskimbladii;Hma2N;DSM 26263|CCUG 63633|JCM 30767;yes;;;anaerobic;alpha-cyclodextrin|arginine|D-arabitol|D-mannitol|D-ribose|D-tagatose|glycogen|hippurate|lactose|L-arabinose|maltose|melezitose|melibiose|methyl beta-D-glucopyranoside|pullulan|raffinose|sorbitol|sucrose|trehalose|urea;GCA_000970755|GCA_014323605|1218506.12|2627854222|1218506.3|JXLH00000000;GCA_000970755;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/755/GCA_000970755.1_ASM97075v1/GCA_000970755.1_ASM97075v1_protein.faa.gz
1532;133577;Lactobacillus kimchicus;lactobacilluskimchicus;Lactobacillus;lactobacillus;Lactobacillus kimchicus;lactobacilluskimchicus;;KCTC 12976|JCM 15530|DCY 51;yes;;;facultative;fructose|galactose|gluconate|maltose|mannitol|mannose|N-acetylglucosamine|ribose;GCA_018784385|GCA_001313205|1302272.5|GCA_001433995|1302272.4|528209.4|2657245468|2734481936;GCA_018784385;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/784/385/GCA_018784385.1_ASM1878438v1/GCA_018784385.1_ASM1878438v1_protein.faa.gz
1533;130380;Lactobacillus kullabergensis Biut2N;lactobacilluskullabergensisbiut2n;Lactobacillus;lactobacillus;Lactobacillus kullabergensis;lactobacilluskullabergensis;Biut2N;DSM 26262|CCUG 63631|JCM 30802;yes;;;anaerobic;arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|sucrose|trehalose|turanose|xylitol;GCA_003151025|GCA_014324215|GCA_000967195|1218493.16|2684622911|2877513988|2636415759|JXBY00000000|1218493.3|1218493.9|2758568514;GCA_003151025;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/151/025/GCA_003151025.1_ASM315102v1/GCA_003151025.1_ASM315102v1_protein.faa.gz
1534;130374;Lactobacillus melliventris Hma8N;lactobacillusmelliventrishma8n;Lactobacillus;lactobacillus;Lactobacillus melliventris;lactobacillusmelliventris;Hma8N;DSM 26256|CCUG 63629|JCM 30770;yes;;;anaerobic;amygdalin|arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_000970775|GCA_003202825|GCA_013346935|1218507.13|1218507.12|2639762991|1218507.3|2758568513|2758568558|GCA_014324185|1218507.4|JXLI00000000|2758568515|2684622913;GCA_000970775;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/775/GCA_000970775.1_ASM97077v1/GCA_000970775.1_ASM97077v1_protein.faa.gz
1535;158390;Lactobacillus panisapium Bb203;lactobacilluspanisapiumbb203;Lactobacillus;lactobacillus;Lactobacillus panisapium;lactobacilluspanisapium;Bb203;DSM 102188|ACCC 19955;yes;;;facultative;cellobiose|D-fructose|D-galactose|D-glucose|D-mannose|D-ribose|esculin|glucose|L-arabinose|L-rhamnose|melibiose|raffinose|starch|sucrose;GCA_019469265|GCA_019469345|GCA_019469365|GCA_019469325|GCA_002916935|2012495.6|2012495.9|2012495.7|2012495.8|2024898.3|2882334426;GCA_019469265;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/469/265/GCA_019469265.1_ASM1946926v1/GCA_019469265.1_ASM1946926v1_protein.faa.gz
1536;137568;Lactobacillus paracasei ATCC 334;lactobacillusparacaseiatcc334;Lactobacillus;lactobacillus;Lactobacillus paracasei;lactobacillusparacasei;ATCC 334;CIP 107868|ATCC 334|CCUG 31169;no;;;microaerophilic;alpha-cyclodextrin|amygdalin|arbutin|arginine|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gelatin|gentiobiose|gluconate|glycerol|glycogen|hippurate|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-glutamate|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-glucopyranoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|nitrate|Potassium 2-ketogluconate|Potassium 5-ketogluconate|pullulan|raffinose|ribitol|salicin|sorbitol|starch|sucrose|trehalose|tryptophan|turanose|urea|xylitol;GCA_000014525|321967.11|321967.3|639633028;GCA_000014525;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/525/GCA_000014525.1_ASM1452v1/GCA_000014525.1_ASM1452v1_protein.faa.gz
1537;159797;Lactobacillus paragasseri 5;lactobacillusparagasseri5;Lactobacillus;lactobacillus;Lactobacillus paragasseri;lactobacillusparagasseri;5;ATCC 4963|LMG 11478|NCFB 1375|KCTC 3172|NCIMB 8931|VPI 0334|JCM 5343;yes;;;facultative;amygdalin|arabinitol|arabinose|arbutin|cellobiose|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|erythritol|esculin|esculin ferric citrate|galactitol|gentiobiose|gluconate|glucose|glycerol|glycogen|inulin|lactose|L-fucose|L-rhamnose|L-sorbose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol|xylose;GCA_003584685|GCA_900636895|GCA_009734365|2107999.18|1596.87|2916510943|2107999.9|2107999.19|2107999.17|AP018549|2107999.3|GCA_018588245|2107999.8|GCA_015552765|GCA_007785885|2107999.7|GCA_019459585|2107999.42|GCA_015550525|2107999.33|GCA_014269295|2107999.12|GCA_905371975|2107999.1|GCA_015560405|BEXH00000000|2107999.2|2107999.22|GCA_010092655|GCA_003307275|GCA_007785845|GCA_007785945;GCA_003584685;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/584/685/GCA_003584685.1_ASM358468v1/GCA_003584685.1_ASM358468v1_protein.faa.gz
1538;159748;Lactobacillus porci;lactobacillusporci;Lactobacillus;lactobacillus;Lactobacillus porci;lactobacillusporci;;KCTC 21090|NBRC 112917|SG 816;yes;;;facultative;amygdalin|arbutin|cellobiose|D-fructose|D-galactose|D-glucose|D-mannose|D-tagatose|D-xylose|esculin|gentiobiose|gluconate|lactose|L-arabinose|maltose|mannitol|melibiose|N-acetylglucosamine|raffinose|ribose|salicin|starch|sucrose|trehalose;GCA_009695985;GCA_009695985;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/695/985/GCA_009695985.1_ASM969598v1/GCA_009695985.1_ASM969598v1_protein.faa.gz
1539;147820;Lactobacillus rhamnosus ATCC 53103;lactobacillusrhamnosusatcc53103;Lactobacillus;lactobacillus;Lactobacillus rhamnosus;lactobacillusrhamnosus;ATCC 53103;CCUG 34291|ATCC 53103|LMG 18243;no;;;aerobic;alpha-cyclodextrin|amygdalin|arbutin|arginine|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|gluconate|glycerol|glycogen|hippurate|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-glucopyranoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|pullulan|raffinose|ribitol|salicin|sorbitol|starch|sucrose|trehalose|turanose|urea|xylitol;GCA_000026505|568703.3|GCA_000011045;GCA_000026505;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/505/GCA_000026505.1_ASM2650v1/GCA_000026505.1_ASM2650v1_protein.faa.gz
1540;166328;Lactobacillus suantsaicola R7;lactobacillussuantsaicolar7;Lactobacillus;lactobacillus;Lactobacillus suantsaicola;lactobacillussuantsaicola;R7;BCRC 81127|NBRC 113530;yes;;;facultative;2-dehydro-D-gluconate|5-dehydro-D-gluconate|cellobiose|citrate|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gelatin|glucose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetyl-D-glucosamine|raffinose|ribitol|salicin|starch|turanose|xylitol;GCA_004745525|2487723.3|RKLY00000000;GCA_004745525;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/745/525/GCA_004745525.1_ASM474552v1/GCA_004745525.1_ASM474552v1_protein.faa.gz
1541;166329;Lactobacillus suantsaiihabitans R19;lactobacillussuantsaiihabitansr19;Lactobacillus;lactobacillus;Lactobacillus suantsaiihabitans;lactobacillussuantsaiihabitans;R19;BCRC 81129|NBRC 113532;yes;;;facultative;citrate|D-ribose|esculin|gelatin|gluconate|glucose;GCA_004745505|2487722.3|RKLX00000000;GCA_004745505;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/745/505/GCA_004745505.1_ASM474550v1/GCA_004745505.1_ASM474550v1_protein.faa.gz
1542;6619;Lactobacillus ultunensis Kx146C1;lactobacillusultunensiskx146c1;Lactobacillus;lactobacillus;Lactobacillus ultunensis;lactobacillusultunensis;Kx146C1;DSM 16047|CCUG 48460|CIP 109908|JCM 16177|LMG 22117;yes;;;anaerobic;amygdalin|arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|fructose|galactitol|galactose|gentiobiose|gluconate|glucose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|mannose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_016647595|GCA_001436305|GCA_000159415|GCA_902374155|525365.3|525365.8|227945.5|643886047|2700989148|ACGU00000000|AZFO00000000;GCA_016647595;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/647/595/GCA_016647595.1_ASM1664759v1/GCA_016647595.1_ASM1664759v1_protein.faa.gz
1543;166149;Lactobacillus zhachilii HBUAS52074;lactobacilluszhachiliihbuas52074;Lactobacillus;lactobacillus;Lactobacillus zhachilii;lactobacilluszhachilii;HBUAS52074;GDMCC 1.1417|KCTC 21106;yes;;;facultative;amygdalin|arbutin|carboxymethylcellulose|casein|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin ferric citrate|galactitol|gentiobiose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|nitrate|potassium 2-dehydro-D-gluconate|potassium 5-dehydro-D-gluconate|potassium gluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|tween 80|tyrosine|xylitol;GCA_016756995|GCA_003606365|2304606.4|CP031933|2304606.3|2896853475;GCA_016756995;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/756/995/GCA_016756995.1_ASM1675699v1/GCA_016756995.1_ASM1675699v1_protein.faa.gz
1544;159832;Lactobacilus nuruki SYF10-1a;lactobacilusnurukisyf101a;Lactobacilus;lactobacilus;Lactobacilus nuruki;lactobacilusnuruki;SYF10-1a;KACC 18726|NBRC 112011;yes;;;facultative;amygdalin|arbutin|carboxymethylcellulose|casein|cellobiose|chitin|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|dna|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin ferric citrate|galactitol|gentiobiose|glycerol|glycogen|hypoxanthine|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|potassium 2-dehydro-D-gluconate|potassium 5-dehydro-D-gluconate|potassium gluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|tween 80|tyrosine|xanthine|xylitol;GCA_002872255|1993540.3;GCA_002872255;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/872/255/GCA_002872255.1_ASM287225v1/GCA_002872255.1_ASM287225v1_protein.faa.gz
1545;166279;Lactococcus allomyrinae 1JSPR-7;lactococcusallomyrinae1jspr7;Lactococcus;lactococcus;Lactococcus allomyrinae;lactococcusallomyrinae;1JSPR-7;KACC 19319|NBRC 113068;yes;;;facultative;amygdalin|arbutin|casein|cellobiose|D-fructose|D-galactose|D-glucose|D-mannitol|D-mannose|dna|D-ribose|D-xylose|esculin|esculin ferric citrate|gelatin|gentiobiose|hypoxanthine|lactose|maltose|melibiose|N-acetylglucosamine|nitrate|raffinose|salicin|starch|sucrose|trehalose|tween 80|tyrosine|xanthine;GCA_003627095|2850695442|CP032627|2419773.3;GCA_003627095;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/627/095/GCA_003627095.1_ASM362709v1/GCA_003627095.1_ASM362709v1_protein.faa.gz
1546;14691;Lactococcus cremoris cremoris HP;lactococcuscremoriscremorishp;Lactococcus;lactococcus;Lactococcus cremoris;lactococcuscremoris;cremoris HP;DSM 20069|ATCC 19257|NCDO 607|NCIB 8662|CCUG 21953|LMG 6897|IMET 10707|JCM 16167|BCRC 12586|CECT 7100|CIP 102301|CNCTC 6910|HAMBI 1588|NBRC 100676|NCFB 607|NCIMB 8662;yes;;;microaerophilic;alpha-cyclodextrin|arginine|D-arabitol|D-mannitol|D-ribose|D-tagatose|D-xylose|esculin|gelatin|glycogen|lactose|L-arabinose|maltose|melezitose|melibiose|methyl beta-D-glucopyranoside|nitrate|pullulan|raffinose|sorbitol|sucrose|trehalose|urea;GCA_017376415|GCA_016952995|GCA_002078935|GCA_016921035|GCA_001591705|GCA_003394085|GCA_001622295|GCA_017068275|GCA_016629445|GCA_002078915|GCA_001622305|GCA_017378735|GCA_002078895|GCA_016629465|GCA_000805435|GCA_016921055|GCA_002441765|GCA_005864265|GCA_000969475|GCA_006351045|GCA_001622205|GCA_002078955|GCA_003346395|GCA_002078765|GCA_002078375|GCA_004354515|GCA_012689565|GCA_003966935|GCA_001622225;GCA_017376415;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/376/415/GCA_017376415.1_ASM1737641v1/GCA_017376415.1_ASM1737641v1_protein.faa.gz
1547;14710;Lactococcus cremoris tructae L105;lactococcuscremoristructael105;Lactococcus;lactococcus;Lactococcus cremoris;lactococcuscremoris;tructae L105;DSM 21502|LMG 24662|JCM 31125;yes;;;microaerophilic;amygdalin|arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_002441825|542833.3|JXKC01000000|2859217666;GCA_002441825;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/441/825/GCA_002441825.1_ASM244182v1/GCA_002441825.1_ASM244182v1_protein.faa.gz
1548;24600;Lactococcus fujiensis NJ 317;lactococcusfujiensisnj317;Lactococcus;lactococcus;Lactococcus fujiensis;lactococcusfujiensis;NJ 317;DSM 27937|CGMCC 1.10453|JCM 16395|LMG 29534|NCIMB 14813;yes;;;microaerophilic;amygdalin|arbutin|cellobiose|D-arabinose|D-arabitol|D-fructose|D-fucose|D-galactose|D-glucose|D-lyxose|D-mannitol|D-mannose|D-ribose|D-sorbitol|D-tagatose|D-xylose|erythritol|esculin|galactitol|gentiobiose|gluconate|glycerol|glycogen|inulin|lactose|L-arabinose|L-arabitol|L-fucose|L-rhamnose|L-sorbose|L-xylose|maltose|melezitose|melibiose|methyl alpha-D-glucopyranoside|methyl alpha-D-mannoside|methyl beta-D-xylopyranoside|myo-inositol|N-acetylglucosamine|Potassium 2-ketogluconate|Potassium 5-ketogluconate|raffinose|ribitol|salicin|starch|sucrose|trehalose|turanose|xylitol;GCA_002441655|GCA_001311235|2728369676|BBAL00000000|JXJU00000000|1291764.5|1291764.3|2903213521;GCA_002441655;https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/441/655/GCA_002441655.1_ASM244165v1/GCA_002441655.1_ASM244165v1_protein.faa.gz
